gene,n_R282W,n_other_mut,median_R282W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
DOHH,11,784,-0.8480394348131941,-0.5632493195797981,-1.4300108450693447,-2.029230276180478,-0.8307914139582113,1652.0,0.00043768911141847346,,0.9997541121077926,False
ARFGEF2,11,784,-0.0160690183231597,-0.00182386675691905,-1.2980069534255758,-1.8964999768577773,-0.6995139299933743,3566.0,0.32429972739048607,,0.9997541121077926,False
THG1L,11,784,-0.8601229410172899,-0.6714399559730346,-1.288129603636843,-1.886571066160076,-0.6896881411136099,1869.0,0.0012407462386316483,,0.9997541121077926,False
ECHS1,11,784,-0.0902840846723212,-0.0271547266222584,-1.1749038953285136,-1.7727821519965954,-0.5770256386604318,3015.0,0.08649870735638718,,0.9997541121077926,False
ASAP2,11,784,0.0070567423784718,0.1200428049601654,-1.065500317802651,-1.662883130910723,-0.4681175046945789,1694.0,0.0005387337474508505,,0.9997541121077926,False
DPH5,11,784,-0.3917291549958481,-0.17561554708645272,-1.0464978918017356,-1.6437995437140382,-0.4491962398894328,1975.0,0.0020069880906247264,,0.9997541121077926,False
LAS1L,11,784,-0.92137538103882,-0.8035373525658387,-1.035240553649299,-1.6324948081688717,-0.4379862991297262,2665.0,0.029486918112119186,,0.9997541121077926,False
DPH6,11,784,-0.6423125678016766,-0.32701212983560624,-1.0262192965739976,-1.6234359357159673,-0.4290026574320278,2009.0,0.002332664329545609,,0.9997541121077926,False
TOE1,11,784,-0.9958553060557812,-0.596077099501523,-1.0235953879055975,-1.6208011476603859,-0.42638962815080894,2467.0,0.01474020033155172,,0.9997541121077926,False
PDCD2L,11,784,-0.0936587696781639,-0.03278767609199515,-0.9993729829194076,-1.5964796166991366,-0.4022663491396786,3352.0,0.2045837776314573,,0.9997541121077926,False
ZC2HC1C,11,784,-0.1397095566987961,-0.04480197792995665,-0.9962014896281407,-1.5932953191751413,-0.39910766008113996,2397.0,0.011365672171300346,,0.9997541121077926,False
PNCK,11,784,0.0240743743563232,0.0966569058592816,-0.9817090837601608,-1.5787449177518535,-0.38467324976846784,2572.0,0.021455328059254247,,0.9997541121077926,False
RTCB,11,784,-1.1052654496242111,-0.756540336240569,-0.9687720224342798,-1.565756798329549,-0.37178724653901074,1875.0,0.0012756109523751357,,0.9997541121077926,False
SREBF1,11,784,-0.5267798476262323,-0.3005102119347015,-0.9541157458607195,-1.5510434916551734,-0.3571880000662656,2532.0,0.0186346355324226,,0.9997541121077926,False
AP3D1,11,784,-0.113582656642189,-0.0460430062307705,-0.9423684893307938,-1.539251148327847,-0.34548583033374036,2946.0,0.07101342324229158,,0.9997541121077926,False
PSAP,11,784,-0.0745321745050287,-0.010356270756666449,-0.9413097617016534,-1.5381883844999993,-0.34443113890330757,2674.0,0.030386492957510933,,0.9997541121077926,False
MYCN,11,784,-0.1635885678919345,-0.09150354082130505,-0.934758292067109,-1.531612038930768,-0.33790454520345026,3068.0,0.10015767812051125,,0.9997541121077926,False
PLEKHF1,11,784,-0.0929136464649774,-0.06451659991913045,-0.9345298910164932,-1.5313827737566645,-0.33767700827632186,3221.0,0.1493584619270951,,0.9997541121077926,False
MAP2K3,11,784,-0.1000813937667764,0.064421687991756,-0.9244126587916242,-1.5212274750006811,-0.3275978425825672,2017.0,0.0024160167751914358,,0.9997541121077926,False
HRH1,11,784,0.013846852308009,0.06727856547392419,-0.9213111430385307,-1.5181143721574362,-0.3245079139196251,2410.0,0.011934933008967596,,0.9997541121077926,False
THOC6,11,784,-0.6523686352999422,-0.43474577965427097,-0.9186019321932629,-1.515395071532558,-0.3218087928539678,2505.0,0.016919223763043882,,0.9997541121077926,False
NSUN5,11,784,-0.3009645268329163,-0.15166538710626484,-0.9176698866523048,-1.514459561650845,-0.32088021165376446,2036.0,0.0026250166461695484,,0.9997541121077926,False
GRWD1,11,784,-1.1567466742783377,-0.8733092175258035,-0.9103143193811281,-1.5070767770022637,-0.3135518617599924,2412.0,0.012024719797550107,,0.9997541121077926,False
NRXN3,11,784,0.0048697297376572,0.0711680401941525,-0.8919231137072725,-1.4886184726151814,-0.2952277547993635,2645.0,0.027569537952912542,,0.9997541121077926,False
SARS2,11,784,-0.901295727572315,-0.689419513251867,-0.8868220219880095,-1.4834990112855393,-0.29014503269047964,2851.0,0.05348360075338525,,0.9997541121077926,False
LYRM4,11,784,-1.6081263973511937,-1.4874429156361932,-0.8761126704551793,-1.4727514351410194,-0.27947390576933906,2802.0,0.045957791424019165,,0.9997541121077926,False
CHCT1,11,784,0.0846813412792056,0.13566522705416875,-0.8661885425282925,-1.4627922977123793,-0.26958478734420566,2717.0,0.035016870714126354,,0.9997541121077926,False
SCAP,11,784,-1.7099177592787578,-0.9875221449808242,-0.8654844953504514,-1.462085781929364,-0.2688832087715388,2221.0,0.005710661800576374,,0.9997541121077926,False
SKIDA1,11,784,-0.0656581679136951,0.041195104196010204,-0.863981114565556,-1.4605771365161158,-0.2673850926149963,2814.0,0.04771308042175341,,0.9997541121077926,False
MYOCD,11,784,0.0487159986572761,0.10309286260467225,-0.8630487959729992,-1.4596415576495643,-0.26645603429643405,2174.0,0.004712016607770246,,0.9997541121077926,False
WDR48,11,784,-0.4847297011410829,-0.3669567534539646,-0.8556514126193733,-1.4522184301370011,-0.2590843951017454,3563.0,0.3223564854105493,,0.9997541121077926,False
TRPM3,11,784,0.0612795333429418,0.10955976045259355,-0.8540461486581403,-1.4506076086997908,-0.2574846886164899,2963.0,0.07460012274966292,,0.9997541121077926,False
PTGES,11,784,-0.0551255252288213,0.0162629992380471,-0.8525179027982244,-1.4490740816520622,-0.25596172394438654,2409.0,0.011890262915895062,,0.9997541121077926,False
ARL2,11,784,-1.9360463916998971,-1.7889929418904964,-0.8445780912008397,-1.4411069837796844,-0.24804919862199504,2482.0,0.015568898261397637,,0.9997541121077926,False
DPH1,11,784,-0.6042383007650142,-0.3491039376356203,-0.844139094577538,-1.4406664858952944,-0.24761170325978143,2110.0,0.0036061266766164394,,0.9997541121077926,False
PPAN,11,784,-1.6352241772772107,-1.3602498433913763,-0.8436026152013034,-1.4401281729454332,-0.24707705745717368,2589.0,0.022762466023455826,,0.9997541121077926,False
WDR18,11,784,-1.6654598010482888,-1.421514283259277,-0.8407807555136797,-1.437296687833772,-0.24426482319358733,2542.0,0.0193075575784125,,0.9997541121077926,False
PDCD4,11,784,-0.0096984500710122,0.07753238895533279,-0.8403203778582848,-1.4368347428656414,-0.2438060128509283,2276.0,0.007118908791054851,,0.9997541121077926,False
GPRC5B,11,784,0.0185740301354139,0.07866884508306506,-0.8393750673611473,-1.4358862168252857,-0.2428639178970089,2490.0,0.01602741764851893,,0.9997541121077926,False
ATE1,11,784,-0.0654571141709637,0.031961171661957444,-0.8375049520729755,-1.4340097508139902,-0.2410001533319609,2575.0,0.02168113572336347,,0.9997541121077926,False
YY2,11,784,0.0970566538531464,0.11641275799273751,-0.8346660444376711,-1.4311612294786067,-0.23817085939673555,2811.0,0.04726905815245542,,0.9997541121077926,False
WDR62,11,784,-0.2699076608322325,-0.14641817483471575,-0.8327776087246644,-1.429266416745099,-0.23628880070422975,2538.0,0.019035881850710635,,0.9997541121077926,False
