gene,n_R273H,n_other_mut,median_R273H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
CD79A,66,729,0.13300172130434784,0.1688799347433519,-0.5150208180077369,-0.7682287383209172,-0.2618128976945566,18179.0,0.0010020060812593497,,0.845740967587104,False
SIRPA,22,250,0.0298468786439116,0.1366219395077287,-0.510102366297418,-0.9480692996950958,-0.07213543289974023,1806.0,0.007646618694505601,,0.8694875549839113,False
POU2AF3,66,729,-0.01046102641758585,0.0218424216891476,-0.4968126648702132,-0.7499326744066557,-0.2436926553337707,20922.0,0.07933570003406476,,0.9405230032010377,False
E2F6,22,250,0.1343605344419763,0.2506273832772873,-0.4943368023568463,-0.9321760558869187,-0.056497548826773936,1964.0,0.026376745665258182,,0.9198986048515271,False
POTEH,59,631,-0.3409472240735487,-0.1796793681569749,-0.48540747343554075,-0.7534620395175243,-0.21735290735355717,13278.0,0.00026801022317447494,,0.845740967587104,False
RPL36A,22,250,-1.7072857634343965,-1.461667706200676,-0.47477937399453723,-0.9124657597284294,-0.037092988260645054,1942.0,0.022441339818437666,,0.9198986048515271,False
CABLES1,66,729,-0.020112047358216548,0.0187208699811868,-0.4670860060071289,-0.7200692308740078,-0.21410278114025005,18452.0,0.001705990497930652,,0.845740967587104,False
SCAF4,66,729,-0.2957715558046476,-0.2097548558699736,-0.4635308218050385,-0.7164982478789673,-0.21056339573110971,19288.0,0.007603351367413188,,0.8694875549839113,False
WDR55,66,729,-1.4504120946936305,-1.253951818611109,-0.46301046668034707,-0.7159755904058422,-0.21004534295485194,17178.0,0.00011798378312365486,,0.845740967587104,False
STK38,66,729,0.01089368905997165,0.0375633064527964,-0.44435950694937065,-0.6972438023850254,-0.19147521151371588,19670.0,0.014074065272533862,,0.9198986048515271,False
TRPC1,66,729,-0.0543266176098815,-0.0403453042408585,-0.4367357504154089,-0.6895879560784077,-0.18388354475241014,20117.0,0.027443098367901844,,0.9198986048515271,False
MYBPC1,66,729,-0.0255508157866961,0.0103154332072458,-0.43056778798523604,-0.6833944350457362,-0.17774114092473597,18680.0,0.0026165623341268904,,0.8608921820176569,False
AUTS2,66,729,-0.010397763745205551,0.025501255421064,-0.4299833580188902,-0.6828076020590652,-0.1771591139787152,18051.0,0.0007748904739172858,,0.845740967587104,False
NARS1,66,729,-2.029627907233891,-1.906933186428972,-0.429258781572662,-0.6820800508477218,-0.17643751229760218,18855.0,0.0035961944770092264,,0.8608921820176569,False
PTPN21,66,729,-0.04921857858357805,-0.015138358276149,-0.42599881913230975,-0.6788067661924346,-0.1731908720721848,18332.0,0.0013538178754249996,,0.845740967587104,False
PPOX,66,729,-0.1303704189894349,-0.0959124697455089,-0.42454977757240436,-0.6773518353366661,-0.17174771980814268,18750.0,0.0029746791876574027,,0.8608921820176569,False
ATP10D,66,729,-0.0240520830054013,0.009427637438158,-0.4227300725921274,-0.6755247628139236,-0.1699353823703313,18365.0,0.0014433023661719275,,0.845740967587104,False
ZNF227,66,729,-0.0591319996821756,-0.0030248062926835,-0.4212102035991196,-0.6739987643322228,-0.16842164286601635,18482.0,0.001806320102192305,,0.845740967587104,False
PRMT1,66,729,-1.5111237193506808,-1.3558133213436654,-0.41820092781185836,-0.6709774171147129,-0.16542443850900385,19162.0,0.006149094378235186,,0.8608921820176569,False
LDLRAP1,66,729,-0.037488529491576605,-0.0091179608397508,-0.41772827495852743,-0.6705028760709715,-0.16495367384608334,19095.0,0.005482490250655028,,0.8608921820176569,False
AQP5,66,729,-0.11150847361566099,-0.0622236410024509,-0.41667280381647376,-0.6694431961078329,-0.1639024115251147,18433.0,0.001645126661545843,,0.845740967587104,False
RPS2,22,250,-2.028938033711018,-1.91559269248985,-0.41256451020574453,-0.8498053305217597,0.02467631011027066,2336.0,0.24241560692043684,,0.9753460179864408,False
NELFE,66,729,-0.5808232964502643,-0.521095837226587,-0.40673929842394263,-0.6594705979653197,-0.1540079988825656,18096.0,0.0008486406663175735,,0.845740967587104,False
PDGFB,66,729,0.02035103806346745,0.0627456208141956,-0.40657593242280654,-0.6593065968801987,-0.15384526796541442,18406.0,0.0015620685672985103,,0.845740967587104,False
RASGRP3,66,729,-0.00669953666847935,0.001273969791011,-0.40550498999986345,-0.6582314974562921,-0.15277848254343485,21022.0,0.08939872142481996,,0.9405230032010377,False
PPWD1,66,729,-2.441787515130013,-2.252355292420906,-0.40335663483249046,-0.6560748360252,-0.1506384336397809,18061.0,0.000790745642834992,,0.845740967587104,False
CPSF2,66,729,-1.545438873771899,-1.4476140831936242,-0.4031438899280676,-0.6558612709636443,-0.15042650889249087,18592.0,0.002222374381739327,,0.845740967587104,False
KCNA7,66,729,-0.13966938212292215,-0.0784104224569754,-0.4018139555304437,-0.6545262192562973,-0.14910169180459004,17936.0,0.0006125777272946709,,0.845740967587104,False
GTF3C5,66,729,-0.7198793958776494,-0.5967816701784794,-0.40177818671222454,-0.6544903130392163,-0.14906606038523268,18207.0,0.0010592795084452035,,0.845740967587104,False
STAT3,66,729,-0.07959083642436865,-0.0688685272376546,-0.40084579472172777,-0.6535543437375386,-0.14813724570591696,22110.0,0.27590522638554604,,0.9781333047992086,False
MCM5,66,729,-1.716691555716785,-1.5371578952063762,-0.40055277929224914,-0.6532602058008282,-0.14784535278367006,17875.0,0.0005399176181510363,,0.845740967587104,False
