cancer_type,gene,rb1_stratum,n_del,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_del,median_dep_intact,fdr,classification
CNS/Brain,CDK4,all,43,21,-0.3577,-0.9323,0.2058,0.04530752532931425,0.1927,True,0.3107,-0.6085,-0.4108,0.12460066851514025,NOT_SIGNIFICANT
Pancreas,CDK4,all,20,11,0.6749,-0.0077,1.9111,0.019665630661299126,0.0822,True,0.617,-0.559,-0.8154,0.07304377102768246,NOT_SIGNIFICANT
Skin,CDK4,all,30,20,0.7542,0.1627,1.374,0.058600079048523684,0.0117,True,0.7196,-0.6912,-0.8852,0.13850927775105598,MARGINAL
Bladder/Urinary Tract,CDK4,all,9,11,-0.3395,-1.2872,0.5477,0.40331756510948324,0.4465,True,0.1511,-0.5892,-0.4819,0.6168386289909744,NOT_SIGNIFICANT
Myeloid,CDK4,all,17,20,0.0067,-0.6196,0.7372,0.8909182051212683,0.9834,True,0.0006,-0.4274,-0.3923,0.976963057152271,NOT_SIGNIFICANT
Esophagus/Stomach,CDK4,all,15,31,0.4913,0.0991,0.8711,0.25089282357387854,0.1247,True,0.4261,-0.5244,-0.5621,0.40770083830755266,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK4,all,12,26,0.2477,-0.3951,0.7102,0.8876197447307914,0.4924,True,0.1935,-0.5848,-0.5425,0.976963057152271,NOT_SIGNIFICANT
Bone,CDK4,all,13,27,-0.205,-0.9157,0.3358,0.193791515728007,0.5375,True,0.0667,-1.0977,-0.6292,0.3598985292091559,NOT_SIGNIFICANT
Lung,CDK4,all,35,65,-0.0927,-0.5373,0.2538,0.24462808423624993,0.66,True,0.0189,-0.5459,-0.487,0.40770083830755266,NOT_SIGNIFICANT
Head and Neck,CDK4,all,12,31,-0.9245,-2.003,-0.151,0.038325760770015906,0.0109,True,0.7734,-0.6305,-0.4582,0.12455872250255169,MARGINAL
Lymphoid,CDK4,all,14,55,-0.142,-0.8788,0.6997,0.7710831602860235,0.6413,False,0.0233,-0.4817,-0.4842,0.9546743889255529,NOT_SIGNIFICANT
Soft Tissue,CDK4,all,10,29,0.5777,0.1198,1.049,0.15235278135769237,0.1224,True,0.5006,-0.5982,-0.7525,0.3300976929416668,NOT_SIGNIFICANT
Breast,CDK4,all,8,30,0.0229,-0.6718,0.653,0.9580244699090202,0.9519,False,0.0229,-1.2004,-0.9634,0.976963057152271,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK4,all,282,548,0.0842,-0.0523,0.2057,0.44592419716811615,0.2502,True,0.0793,-0.6124,-0.5894,0.44592419716811615,NOT_SIGNIFICANT
CNS/Brain,CDK4,rb1_intact,41,21,-0.3792,-0.8949,0.1764,0.03597671364323241,0.1606,True,0.331,-0.6085,-0.4108,0.11071886444671261,NOT_SIGNIFICANT
Pancreas,CDK4,rb1_intact,20,11,0.6749,-0.0077,1.9111,0.019665630661299126,0.0822,True,0.617,-0.559,-0.8154,0.07304377102768246,NOT_SIGNIFICANT
Skin,CDK4,rb1_intact,29,20,0.728,0.144,1.3345,0.07847992874803807,0.0136,True,0.6918,-0.6966,-0.8852,0.1854980134044536,MARGINAL
Bladder/Urinary Tract,CDK4,rb1_intact,9,11,-0.3395,-1.2872,0.5477,0.40331756510948324,0.4465,True,0.1511,-0.5892,-0.4819,0.6168386289909744,NOT_SIGNIFICANT
Myeloid,CDK4,rb1_intact,17,20,0.0067,-0.6196,0.7372,0.8909182051212683,0.9834,True,0.0006,-0.4274,-0.3923,0.9651613888813739,NOT_SIGNIFICANT
Esophagus/Stomach,CDK4,rb1_intact,15,31,0.4913,0.0991,0.8711,0.25089282357387854,0.1247,True,0.4261,-0.5244,-0.5621,0.4348808941947228,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK4,rb1_intact,12,26,0.2477,-0.3951,0.7102,0.8876197447307914,0.4924,True,0.1935,-0.5848,-0.5425,0.9651613888813739,NOT_SIGNIFICANT
Bone,CDK4,rb1_intact,13,27,-0.205,-0.9157,0.3358,0.193791515728007,0.5375,True,0.0667,-1.0977,-0.6292,0.3598985292091559,NOT_SIGNIFICANT
Lung,CDK4,rb1_intact,34,65,-0.0933,-0.4969,0.2678,0.286972780897118,0.6642,True,0.0176,-0.545,-0.487,0.4663307689578167,NOT_SIGNIFICANT
Head and Neck,CDK4,rb1_intact,12,31,-0.9245,-2.003,-0.151,0.038325760770015906,0.0109,True,0.7734,-0.6305,-0.4582,0.11071886444671261,MARGINAL
Lymphoid,CDK4,rb1_intact,12,55,-0.1179,-0.9411,0.8863,0.5078136970118501,0.7207,False,0.0594,-0.4131,-0.4842,0.7335086734615612,NOT_SIGNIFICANT
Soft Tissue,CDK4,rb1_intact,10,29,0.5777,0.1198,1.049,0.15235278135769237,0.1224,True,0.5006,-0.5982,-0.7525,0.3300976929416668,NOT_SIGNIFICANT
Breast,CDK4,rb1_intact,8,30,0.0229,-0.6718,0.653,0.9580244699090202,0.9519,False,0.0229,-1.2004,-0.9634,0.976963057152271,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK4,rb1_intact,276,548,0.0782,-0.0472,0.1998,0.4183784093983449,0.291,True,0.0732,-0.6124,-0.5894,0.4183784093983449,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK4,rb1_lost,6,548,0.3236,0.0139,0.6479,0.7726484843071119,0.4385,True,0.189,-0.6046,-0.5894,0.8640062228276747,NOT_SIGNIFICANT
