pathway,mean_in_subtype,mean_out_subtype,mean_diff,p_value,fdr
PWY-6215: 4-chlorobenzoate degradation,-12.0498,-8.7542,-3.2956,0.007530011408011501,0.9965173373002011
P621-PWY: nylon-6 oligomer degradation,-12.423,-9.0945,-3.3284,0.009618281846359013,0.9965173373002011
PWY-4321: L-glutamate degradation IV,-10.4292,-6.8674,-3.5618,0.012208157877388317,0.9965173373002011
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),-11.2257,-8.3048,-2.9209,0.02537108399612567,0.9965173373002011
URSIN-PWY: ureide biosynthesis,-10.3755,-7.0093,-3.3662,0.028227448811775118,0.9965173373002011
PWY3DJ-35471: L-ascorbate biosynthesis IV,-9.1402,-5.3084,-3.8319,0.028227448811775118,0.9965173373002011
PWY-6182: superpathway of salicylate degradation,-11.4142,-8.634,-2.7802,0.034779041317124205,0.9965173373002011
"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",-7.3865,-12.4795,5.0929,0.03660662131755763,0.9965173373002011
METHGLYUT-PWY: superpathway of methylglyoxal degradation,1.818,0.3682,1.4498,0.0405081015630998,0.9965173373002011
PWY-1541: superpathway of taurine degradation,-11.984,-9.8289,-2.1551,0.065686451678053,0.9965173373002011
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",-9.9691,-7.3709,-2.5981,0.06879554661782919,0.9965173373002011
PWY-6210: 2-aminophenol degradation,-12.9922,-10.8761,-2.1161,0.07202455899335196,0.9965173373002011
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,-13.0002,-11.0843,-1.9159,0.07537666387270958,0.9965173373002011
PWY-6185: 4-methylcatechol degradation (ortho cleavage),-10.6402,-8.4569,-2.1833,0.08246291044055036,0.9965173373002011
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),-12.7612,-10.3352,-2.4259,0.08246291044055036,0.9965173373002011
PWY-5028: L-histidine degradation II,-11.7712,-9.0811,-2.6901,0.09007986955483889,0.9965173373002011
PWY-5265: peptidoglycan biosynthesis II (staphylococci),-9.4305,-5.5963,-3.8341,0.09007986955483889,0.9965173373002011
PWY-5088: L-glutamate degradation VIII (to propanoate),-10.6251,-8.184,-2.4411,0.09825313724191266,0.9965173373002011
PWY-5181: toluene degradation III (aerobic) (via p-cresol),-10.2294,-8.2848,-1.9446,0.1263640123667062,0.9965173373002011
PWY-7046: 4-coumarate degradation (anaerobic),-0.7619,-4.3278,3.5659,0.13160540865492798,0.9965173373002011
