feature,mean_in_subtype,mean_out_subtype,mean_diff,p_value,fdr
C8p_QI25771,5.659003579852534,-10.0180683369121,15.677071916764634,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI18027,6.54566073809389,-8.566679292672164,15.112340030766054,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI26103,6.335941643426381,-9.055157696325663,15.391099339752044,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI15043,6.055740950410816,-8.293825535559845,14.349566485970662,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI12599,4.876742113239267,-10.34357955697277,15.220321670212037,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI12142,4.6128249867545055,-10.04847848020203,14.661303466956536,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI12592,4.595823997508754,-10.292451483835583,14.888275481344337,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI29786,4.091268342524266,-11.260587752744723,15.351856095268989,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI23769,6.838435488796957,-6.688831119170428,13.527266607967384,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI15041,5.80673429348995,-7.079074520324912,12.885808813814862,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI16810,6.161803839035423,-8.306419703584465,14.468223542619889,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI24681,7.16823316986884,-6.826596596111905,13.994829765980745,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI17482,4.982913388876365,-9.855553965508522,14.838467354384886,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI10696,4.275628237609901,-10.19541421424389,14.47104245185379,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI13775,6.283694184950663,-7.794527842173193,14.078222027123857,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI18066,4.987700701201852,-9.957657835852592,14.945358537054444,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI18606,6.593115049714143,-8.971439931253972,15.564554980968115,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI19185,6.206839598594543,-8.966227487936903,15.173067086531447,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI26408,6.44144880260432,-8.874611052966705,15.316059855571025,1.637894209454242e-08,1.1865326849312568e-07
C8p_QI11162,4.571677952123801,-10.0993597662028,14.671037718326602,1.637894209454242e-08,1.1865326849312568e-07
