feature,fp_mean,fp_std,fp_median,fp_n,tn_mean,tn_std,tn_median,tn_n,mean_diff,cohens_d,t_statistic,t_pvalue,ks_statistic,ks_pvalue
sbp,96.8125,16.16419654668923,101.5,8,122.32608695652173,13.992599432367108,121.5,69,-25.513586956521735,-1.6876920985349513,-4.282242006102998,0.0024870516181343364,0.6956521739130435,0.0006506812335584535
map,63.625,10.852089989622144,65.0,8,78.81159420289855,8.363568339071477,78.0,69,-15.186594202898547,-1.5675573204511735,-3.828517232746943,0.005036289526894716,0.7246376811594203,0.0003045850096430434
creatinine,1.53125,0.720583840665728,1.625,8,0.7779411764705881,0.2882502997294498,0.75,68,0.7533088235294119,1.3726855277053436,2.9294330658850383,0.02114013089185769,0.6764705882352942,0.0010722950170740017
bun,38.25,22.1278751158546,37.0,8,15.485294117647058,7.869727843459018,15.0,68,22.764705882352942,1.370801491345248,2.8884166870645793,0.02262943168504874,0.6102941176470589,0.004746060806116321
resp_rate,22.4375,6.195836735836642,21.0,8,18.58695652173913,3.5799241301309177,18.0,69,3.850543478260871,0.7609988952444532,1.7247277355262338,0.12509917595453368,0.532608695652174,0.020928581253530226
temperature,36.48958333333333,0.7122228258175383,36.666666666666664,8,36.92407407407406,0.30110946305090447,36.888888888888886,69,-0.4344907407407348,-0.7946410251865769,-1.7078732129568506,0.12969323254997608,0.5036231884057971,0.034244162676182334
potassium,4.40625,0.7711019480494873,4.1,8,3.977536231884058,0.46086046694360194,3.8499999999999996,69,0.4287137681159421,0.6749136241813042,1.5409506803628081,0.16391610449477992,0.391304347826087,0.1699487353859441
heart_rate,93.0,15.544865941617417,90.75,8,85.1376811594203,12.989216131867815,85.0,69,7.862318840579704,0.5488855112454104,1.3759582717769616,0.2053553735950111,0.26811594202898553,0.5849071470107856
bicarbonate,22.4375,3.858548024470197,22.0,8,24.301470588235293,3.5462190353788396,24.0,68,-1.8639705882352935,-0.5030042624882428,-1.3031301342805237,0.22691065872723398,0.36764705882352944,0.23065227448510064
glucose,160.75,44.71417161099088,149.5,8,140.84558823529412,43.276209154144865,128.0,68,19.904411764705884,0.45236204664138546,1.1949456888191798,0.2639593393753746,0.45588235294117646,0.07349524812708229
lactate,4.22,4.501749659854489,2.0,5,1.7472972972972975,0.7461890163008621,1.7,37,2.472702702702702,0.7663373006886699,1.2259445597081888,0.2869984845462545,0.4,0.37326665632185535
spo2,94.6875,5.351485107626,96.0,8,96.82608695652173,1.8783325031333948,97.0,69,-2.138586956521735,-0.5332610123628211,-1.1223230634627666,0.29774717950184587,0.28804347826086957,0.5002611340862915
albumin,3.475,1.0372238588334406,3.1,4,2.841176470588235,0.586364672718066,2.9,17,0.6338235294117651,0.7523010399806657,1.178641674124964,0.3131067905751315,0.4117647058823529,0.5213032581453634
wbc,16.264285714285712,9.516245508152288,13.1,7,12.214615384615385,7.842774954720084,11.1,65,4.049670329670327,0.4644250997172686,1.0868599041800981,0.31356903216088644,0.2989010989010989,0.5257374599441239
bilirubin_total,2.516666666666667,3.063630743633008,0.9,3,0.4130434782608695,0.25770728254797315,0.3,23,2.1036231884057974,0.9676436047689039,1.1887535751619518,0.3563584866084688,0.6521739130434783,0.13846153846153844
platelets,185.28571428571428,94.44524742889269,192.0,7,222.1640625,91.56180385996811,192.25,64,-36.87834821428572,-0.39647871108473337,-0.9837671132171503,0.3567484566147012,0.26339285714285715,0.6777453866030294
inr,1.4142857142857144,0.4784648068861192,1.2,7,1.2466101694915255,0.23357499105538357,1.2,59,0.1676755447941889,0.44536802353523525,0.9143535640880055,0.39395727266401886,0.2687651331719128,0.6591934605584788
ast,1437.8333333333333,2370.318034216787,128.5,3,163.52380952380952,404.2174685794293,29.0,21,1274.3095238095239,0.7494771884630147,0.9292416468539093,0.4501670606369408,0.42857142857142855,0.6264822134387351
pao2,122.0,66.92906692910039,137.0,5,147.30555555555554,97.64193169636098,112.75,36,-25.305555555555543,-0.30231409013963073,-0.7427624230272031,0.4830387462132914,0.2222222222222222,0.9392792614872205
ptt,32.57142857142858,7.223333553079743,29.55,7,34.06583333333333,13.370396377586767,29.85,60,-1.4944047619047538,-0.13906884721821244,-0.4626562339147234,0.652192763171931,0.30714285714285716,0.4957277759376468
sodium,138.4375,5.990692185143788,137.25,8,137.66666666666666,3.682896345296196,138.0,69,0.7708333333333428,0.15501832307807895,0.35621795364690884,0.7313311508131699,0.2210144927536232,0.7980895676463168
chloride,103.8125,6.233191684155764,103.25,8,104.34782608695652,4.536051946729348,104.5,69,-0.5353260869565162,-0.09820559221191759,-0.2357833625458629,0.8196109737300988,0.16666666666666666,0.9655216764592554
alt,290.1666666666667,453.3658382954469,40.0,3,225.54761904761904,628.6441740913914,31.0,21,64.61904761904765,0.11790559525621294,0.21866193605705084,0.8400280043808257,0.3333333333333333,0.8932806324110673
hemoglobin,10.542857142857143,2.2286820790601354,10.9,7,10.398461538461538,1.851286909464291,10.15,65,0.14439560439560495,0.0704818123910327,0.16538284389795932,0.8733694838097406,0.21318681318681318,0.8793322944534753
hematocrit,31.921428571428574,6.504540538658178,32.15,7,31.514615384615382,4.887313959669934,30.95,65,0.4068131868131921,0.07071276230553589,0.16066119621769415,0.8770627151533221,0.22857142857142856,0.8250724305866088
