gene_symbol,cell_type,n_td,n_ctl,mean_td,mean_ctl,log2fc,p_value,significant
ACO1,IT,11182,7212,0.36254695045609014,0.4070992789794787,-0.1629685647553038,0.01644361701999897,False
AR,IT,11182,7212,0.0907708817742801,0.11203549639489739,-0.27622201925020134,0.1340285477177016,False
ASH1L,IT,11182,7212,5.050169915936326,6.186217415418747,-0.2922019367614518,7.643044591762403e-28,True
BCL11B,IT,11182,7212,0.5128778393847254,0.42013311148086524,0.2816907334960875,1.654833249743548e-12,True
CADPS2,IT,11182,7212,14.830978358075479,22.58166943982252,-0.6062046829192469,3.4080104358334544e-35,True
CELSR3,IT,11182,7212,0.13190842425326418,0.16666666666666666,-0.316069622849689,9.665339525879093e-09,True
CNTN6,IT,11182,7212,1.5917546056161689,1.5855518580144203,0.005597639471259082,0.30283765278061425,False
CNTNAP2,IT,11182,7212,74.15891611518512,98.04728230726568,-0.4028100913602301,9.592806170291107e-24,True
COL27A1,IT,11182,7212,0.10382758003934896,0.2526344980587909,-1.2062062721103193,8.623083873511837e-62,True
ESR1,IT,11182,7212,0.4589518869611876,0.8524681087077094,-0.8790311973441424,1.3177216391147325e-49,True
ESR2,IT,11182,7212,0.20246825254873904,0.26164725457570714,-0.3544871795324502,1.2889876696227042e-06,True
EXOC1,IT,11182,7212,1.7052405651940619,1.838602329450915,-0.1080239753302089,0.006204294719725321,False
FLT3,IT,11182,7212,0.027365408692541584,0.019550748752079867,0.33850861654800346,0.003502725499744841,False
FTH1,IT,11182,7212,10.398050438204256,7.569051580698836,0.45761062823001813,6.5013281778776176e-55,True
FTL,IT,11182,7212,4.143534251475586,5.21769273433167,-0.33183489557297663,3.148673607971342e-17,True
GXYLT1,IT,11182,7212,0.5696655338937578,0.5994176372712147,-0.07221054641651346,0.05280689021340163,False
HAMP,IT,11182,7212,0.014129851547129315,0.0324459234608985,-0.8148069631303769,6.46202838183442e-14,True
HDC,IT,11182,7212,0.006886066893221248,0.004021075984470327,0.26823626764555664,0.008260906290057497,False
IREB2,IT,11182,7212,1.6116079413342872,1.8022739877981142,-0.16037602595353675,4.817460272306748e-10,True
LATS1,IT,11182,7212,1.1442496869969594,1.3646699944536882,-0.25212998328517117,7.707896277706836e-16,True
LATS2,IT,11182,7212,0.024145948846360222,0.014697726012201887,0.4673362090111165,0.0007746035630545959,False
LHX6,IT,11182,7212,0.015381863709533178,0.014836383804769829,0.03134287415691283,0.9017573550886056,False
MAOA,IT,11182,7212,0.1203720264711143,0.11716583471991125,0.03592323014834058,0.3883588501152907,False
