data_source,module,n_pans,n_control,mean_pans,mean_control,fold_change,U_statistic,p_value,rank_biserial_r,direction,fdr
bulk,lectin_complement,9,10,22575.88888888889,16129.6,1.3996558432254296,63.0,0.15304188415882009,-0.3999999999999999,pans_higher,0.5879169056535481
bulk,lectin_complement_downstream,9,10,79.44444444444444,64.1,1.2393829086496795,60.5,0.22046883962008057,-0.34444444444444455,pans_higher,0.5879169056535481
bulk,nk_cell_effector,9,10,27127.222222222223,26855.8,1.0101066519046993,44.0,0.967435545139537,0.022222222222222254,pans_higher,1.0
bulk,neutrophil_defense,9,10,141591.55555555556,105364.4,1.3438272846953578,49.0,0.7750513736700824,-0.0888888888888888,pans_higher,1.0
bulk,monocyte_defense,9,10,201043.77777777778,141780.9,1.4179891492985148,61.0,0.2056671796173556,-0.3555555555555556,pans_higher,0.5879169056535481
bulk,pattern_recognition_receptors,9,10,49004.333333333336,43813.3,1.118480765733997,45.0,1.0,0.0,pans_higher,1.0
bulk,trained_immunity,9,10,23504.777777777777,23322.5,1.007815533402413,42.0,0.8382564863858263,0.06666666666666665,pans_higher,1.0
bulk,cgas_sting_pathway,9,10,27158.222222222223,22245.6,1.2208356808637315,46.0,0.967435545139537,-0.022222222222222143,pans_higher,1.0
scrna_pseudobulk,lectin_complement,5,4,23888.8,19157.25,1.2469848229782459,14.0,0.4126984126984127,-0.3999999999999999,pans_higher,1.0
scrna_pseudobulk,lectin_complement_downstream,5,4,133.2,111.25,1.1973033707865168,12.0,0.7301587301587302,-0.19999999999999996,pans_higher,1.0
scrna_pseudobulk,nk_cell_effector,5,4,43526.4,50019.0,0.8701973250164937,9.0,0.9047619047619049,0.09999999999999998,pans_lower,1.0
scrna_pseudobulk,neutrophil_defense,5,4,171226.8,226529.25,0.7558705994921185,8.0,0.7301587301587302,0.19999999999999996,pans_lower,1.0
scrna_pseudobulk,monocyte_defense,5,4,135692.2,150371.5,0.9023797727627909,10.0,1.0,0.0,pans_lower,1.0
scrna_pseudobulk,pattern_recognition_receptors,5,4,35138.8,45799.75,0.7672268953433152,9.0,0.9047619047619049,0.09999999999999998,pans_lower,1.0
scrna_pseudobulk,trained_immunity,5,4,24830.6,30604.0,0.8113514573258397,8.0,0.7301587301587302,0.19999999999999996,pans_lower,1.0
scrna_pseudobulk,cgas_sting_pathway,5,4,35850.0,46649.5,0.7684969828186797,6.0,0.4126984126984127,0.4,pans_lower,1.0
