gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
TENT5D,-0.7434,5.915391682810405e-05,-0.0036,0.1123,30,1156,0.45884774524775657
DDX19B,-0.6531,9.573333894198327e-05,-0.3044,-0.2099,30,1156,0.45884774524775657
HRG,0.5736,0.0001477652433567049,0.0935,0.0237,30,1156,0.45884774524775657
NXT1,-0.6386,0.000153661026166406,-0.9363,-0.5817,30,1156,0.45884774524775657
PIGX,0.7406,0.0001712213379061872,0.058,-0.0746,30,1156,0.45884774524775657
CLUH,-0.7409,0.00019106563873438483,-0.3844,-0.2428,30,1156,0.45884774524775657
LAIR2,0.6317,0.0002534615365655677,-0.0188,-0.0984,30,1156,0.45884774524775657
TNFRSF13C,-0.7457,0.00027568197075662873,-0.0469,0.0461,30,1156,0.45884774524775657
TUT7,-0.6407,0.0002785844841498194,-0.1163,-0.0232,30,1156,0.45884774524775657
FILIP1L,-0.6648,0.00030034345387563175,-0.0403,0.0386,30,1156,0.45884774524775657
EEF2K,-0.6284,0.000335984414847871,-0.0664,0.0099,30,1156,0.45884774524775657
CHST5,0.7168,0.00038491848864543926,0.0431,-0.0244,30,1156,0.45884774524775657
TTC23,0.7521,0.00039612066133158836,0.2335,0.1454,30,1156,0.45884774524775657
CEL,0.7338,0.00040019472717379935,0.0362,-0.0539,30,1156,0.45884774524775657
CTSL,0.5242,0.0004010142237212729,0.0896,-0.0088,30,1156,0.45884774524775657
ANXA2R,-0.7035,0.00043599539838738374,-0.1773,-0.0891,30,1156,0.45884774524775657
DMRTB1,0.7237,0.0005115668310197497,-0.0145,-0.1291,30,1156,0.45884774524775657
ASIC4,0.5998,0.0005125973347315157,0.0222,-0.0522,30,1156,0.45884774524775657
ENTPD2,0.6204,0.0005198652203918414,0.0163,-0.0471,30,1156,0.45884774524775657
CCDC179,-0.5438,0.0005746391576426778,0.0481,0.1091,30,1156,0.45884774524775657
ZHX1,0.4919,0.0005769380655549134,0.0671,0.02,30,1156,0.45884774524775657
